infections,diagnosed,susceptible,steps
5.0,7.0,88.0,4308.0
4.0,12.0,84.0,4124.0
6.0,12.0,82.0,4250.0
5.0,7.0,88.0,4447.0
5.0,6.0,89.0,4309.0
6.0,7.0,87.0,4263.0
6.0,11.0,83.0,4087.0
5.0,7.0,88.0,4076.0
2.0,10.0,88.0,4120.0
7.0,10.0,83.0,4207.0
3.0,8.0,89.0,4165.0
3.0,9.0,88.0,4046.0
7.0,16.0,77.0,4090.0
6.0,7.0,87.0,4335.0
5.0,8.0,87.0,4222.0
1.0,12.0,87.0,3926.0
6.0,10.0,84.0,4100.0
2.0,10.0,88.0,4099.0
6.0,8.0,86.0,4210.0
2.0,10.0,88.0,4010.0
4.0,7.0,89.0,4164.0
11.0,7.0,82.0,4300.0
6.0,8.0,86.0,4252.0
4.0,10.0,86.0,4181.0
6.0,9.0,85.0,4104.0
6.0,12.0,82.0,4112.0
6.0,10.0,84.0,4166.0
3.0,9.0,88.0,4341.0
4.0,7.0,89.0,4393.0
6.0,7.0,87.0,4399.0
1.0,11.0,88.0,4033.0
6.0,10.0,84.0,4292.0
5.0,8.0,87.0,4179.0
4.0,8.0,88.0,4189.0
6.0,10.0,84.0,4217.0
6.0,6.0,88.0,4235.0
2.0,13.0,85.0,4172.0
2.0,11.0,87.0,3968.0
5.0,11.0,84.0,3968.0
2.0,9.0,89.0,4073.0
3.0,11.0,86.0,3986.0
6.0,7.0,87.0,4396.0
5.0,9.0,86.0,4252.0
4.0,10.0,86.0,4214.0
3.0,9.0,88.0,4209.0
6.0,9.0,85.0,4232.0
3.0,10.0,87.0,4185.0
7.0,9.0,84.0,4280.0
7.0,10.0,83.0,4261.0
1.0,10.0,89.0,4114.0
2.0,13.0,85.0,4171.0
3.0,10.0,87.0,3965.0
6.0,13.0,81.0,4391.0
5.0,11.0,84.0,4105.0
3.0,8.0,89.0,4315.0
3.0,12.0,85.0,4187.0
7.0,8.0,85.0,4455.0
5.0,11.0,84.0,4048.0
3.0,10.0,87.0,4173.0
9.0,8.0,83.0,4284.0
2.0,11.0,87.0,4066.0
4.0,9.0,87.0,4212.0
6.0,8.0,86.0,4219.0
5.0,8.0,87.0,4365.0
10.0,10.0,80.0,4262.0
7.0,9.0,84.0,4231.0
3.0,10.0,87.0,4273.0
2.0,11.0,87.0,3942.0
0.0,14.0,86.0,4182.0
6.0,7.0,87.0,4201.0
3.0,8.0,89.0,4205.0
5.0,11.0,84.0,4200.0
3.0,11.0,86.0,4031.0
4.0,11.0,85.0,4187.0
5.0,11.0,84.0,4138.0
3.0,10.0,87.0,4156.0
4.0,10.0,86.0,4330.0
3.0,12.0,85.0,4267.0
7.0,10.0,83.0,4250.0
7.0,13.0,80.0,4238.0
5.0,14.0,81.0,3942.0
5.0,9.0,86.0,4169.0
3.0,9.0,88.0,4185.0
5.0,9.0,86.0,4104.0
7.0,8.0,85.0,4262.0
2.0,8.0,90.0,4302.0
3.0,9.0,88.0,4121.0
5.0,15.0,80.0,4071.0
4.0,10.0,86.0,4268.0
6.0,9.0,85.0,4468.0
2.0,11.0,87.0,4178.0
3.0,7.0,90.0,4291.0
4.0,8.0,88.0,4258.0
6.0,7.0,87.0,4248.0
3.0,11.0,86.0,4177.0
