S,I,D,R,steps
0.0,20.0,80.0,0.0,3412.0
0.0,23.0,77.0,0.0,2906.0
0.0,21.0,79.0,0.0,3349.0
0.0,17.0,83.0,0.0,3704.0
0.0,22.0,78.0,0.0,3381.0
0.0,24.0,76.0,0.0,3697.0
0.0,23.0,77.0,0.0,4099.0
0.0,21.0,79.0,0.0,2897.0
0.0,26.0,74.0,0.0,3406.0
0.0,27.0,73.0,0.0,2831.0
0.0,27.0,73.0,0.0,2553.0
0.0,23.0,77.0,0.0,3321.0
0.0,26.0,74.0,0.0,2909.0
0.0,19.0,81.0,0.0,3472.0
0.0,23.0,77.0,0.0,3641.0
0.0,22.0,78.0,0.0,3542.0
0.0,27.0,73.0,0.0,3536.0
0.0,21.0,79.0,0.0,3891.0
0.0,31.0,69.0,0.0,2986.0
0.0,24.0,76.0,0.0,3356.0
0.0,26.0,74.0,0.0,3410.0
0.0,23.0,77.0,0.0,3056.0
0.0,18.0,82.0,0.0,3443.0
0.0,27.0,73.0,0.0,2653.0
