infections,diagnosed,susceptible,steps
44.0,46.0,10.0,9143.0
43.0,46.0,11.0,9357.0
43.0,34.0,23.0,9610.0
36.0,48.0,16.0,8846.0
37.0,51.0,12.0,8866.0
36.0,52.0,12.0,8603.0
34.0,55.0,11.0,9187.0
37.0,47.0,16.0,9347.0
37.0,37.0,26.0,9294.0
37.0,51.0,12.0,8759.0
34.0,48.0,18.0,9122.0
46.0,43.0,11.0,9232.0
40.0,46.0,14.0,8593.0
38.0,48.0,14.0,8689.0
40.0,42.0,18.0,8925.0
45.0,36.0,19.0,9734.0
49.0,42.0,9.0,9365.0
37.0,49.0,14.0,8585.0
34.0,48.0,18.0,8672.0
38.0,44.0,18.0,9003.0
37.0,45.0,18.0,9107.0
42.0,33.0,25.0,9386.0
46.0,33.0,21.0,9933.0
36.0,53.0,11.0,8850.0
39.0,41.0,20.0,9979.0
35.0,45.0,20.0,9236.0
35.0,44.0,21.0,9224.0
37.0,48.0,15.0,9090.0
46.0,39.0,15.0,9297.0
39.0,47.0,14.0,8920.0
29.0,50.0,21.0,8863.0
34.0,52.0,14.0,8571.0
39.0,33.0,28.0,9402.0
38.0,38.0,24.0,9871.0
49.0,37.0,14.0,9486.0
43.0,45.0,12.0,9214.0
38.0,45.0,17.0,9034.0
40.0,48.0,12.0,9082.0
47.0,39.0,14.0,9684.0
36.0,41.0,23.0,9090.0
35.0,53.0,12.0,8843.0
35.0,40.0,25.0,9316.0
40.0,37.0,23.0,9272.0
40.0,40.0,20.0,9448.0
42.0,47.0,11.0,9573.0
43.0,39.0,18.0,9090.0
48.0,43.0,9.0,9264.0
36.0,46.0,18.0,9205.0
30.0,50.0,20.0,8702.0
45.0,43.0,12.0,9175.0
45.0,42.0,13.0,9089.0
50.0,40.0,10.0,9640.0
39.0,45.0,16.0,9461.0
38.0,45.0,17.0,9245.0
32.0,56.0,12.0,8029.0
41.0,46.0,13.0,9058.0
43.0,38.0,19.0,9737.0
41.0,42.0,17.0,9211.0
34.0,43.0,23.0,9235.0
45.0,40.0,15.0,9285.0
35.0,44.0,21.0,9463.0
41.0,38.0,21.0,9227.0
37.0,44.0,19.0,8832.0
39.0,46.0,15.0,9059.0
40.0,49.0,11.0,8748.0
40.0,42.0,18.0,9093.0
46.0,41.0,13.0,9035.0
37.0,47.0,16.0,8997.0
38.0,54.0,8.0,9163.0
33.0,45.0,22.0,9019.0
32.0,47.0,21.0,8976.0
38.0,49.0,13.0,8957.0
29.0,47.0,24.0,8953.0
37.0,44.0,19.0,8861.0
36.0,49.0,15.0,8367.0
47.0,40.0,13.0,9261.0
38.0,46.0,16.0,9546.0
42.0,45.0,13.0,9383.0
40.0,44.0,16.0,8997.0
35.0,50.0,15.0,8954.0
32.0,35.0,33.0,9728.0
25.0,58.0,17.0,8449.0
31.0,44.0,25.0,8822.0
40.0,41.0,19.0,9526.0
32.0,42.0,26.0,9245.0
37.0,40.0,23.0,9438.0
39.0,52.0,9.0,9073.0
41.0,42.0,17.0,9613.0
39.0,48.0,13.0,9013.0
38.0,49.0,13.0,8732.0
41.0,41.0,18.0,9488.0
39.0,45.0,16.0,9392.0
45.0,40.0,15.0,9366.0
41.0,38.0,21.0,9379.0
31.0,53.0,16.0,8955.0
37.0,47.0,16.0,9390.0
39.0,48.0,13.0,8867.0
36.0,44.0,20.0,8855.0
36.0,43.0,21.0,9272.0
40.0,41.0,19.0,9602.0
37.0,46.0,17.0,8953.0
42.0,43.0,15.0,9031.0
52.0,34.0,14.0,8787.0
33.0,42.0,25.0,9039.0
39.0,40.0,21.0,9266.0
38.0,54.0,8.0,8825.0
40.0,42.0,18.0,9319.0
33.0,50.0,17.0,9093.0
38.0,48.0,14.0,8819.0
39.0,46.0,15.0,9271.0
31.0,53.0,16.0,8446.0
39.0,44.0,17.0,9352.0
28.0,57.0,15.0,8718.0
38.0,49.0,13.0,9265.0
37.0,39.0,24.0,9743.0
30.0,49.0,21.0,8729.0
35.0,51.0,14.0,8608.0
36.0,50.0,14.0,8494.0
30.0,50.0,20.0,8499.0
40.0,43.0,17.0,9529.0
44.0,44.0,12.0,9065.0
36.0,46.0,18.0,9211.0
35.0,51.0,14.0,8797.0
28.0,55.0,17.0,8716.0
30.0,41.0,29.0,9051.0
38.0,48.0,14.0,9455.0
28.0,44.0,28.0,8758.0
36.0,46.0,18.0,9271.0
43.0,42.0,15.0,8932.0
30.0,59.0,11.0,8744.0
37.0,46.0,17.0,9718.0
37.0,45.0,18.0,8925.0
36.0,46.0,18.0,9053.0
38.0,41.0,21.0,9365.0
34.0,44.0,22.0,9095.0
47.0,37.0,16.0,9522.0
47.0,34.0,19.0,9813.0
33.0,46.0,21.0,9271.0
45.0,44.0,11.0,9096.0
38.0,47.0,15.0,8743.0
46.0,37.0,17.0,9375.0
33.0,53.0,14.0,8810.0
38.0,50.0,12.0,8912.0
46.0,41.0,13.0,9197.0
39.0,41.0,20.0,9361.0
42.0,45.0,13.0,8940.0
25.0,38.0,37.0,9082.0
41.0,40.0,19.0,8806.0
37.0,43.0,20.0,9791.0
38.0,34.0,28.0,9447.0
35.0,43.0,22.0,8966.0
37.0,49.0,14.0,9051.0
36.0,48.0,16.0,9342.0
33.0,52.0,15.0,8628.0
44.0,39.0,17.0,9455.0
39.0,43.0,18.0,9456.0
30.0,48.0,22.0,8885.0
38.0,40.0,22.0,9207.0
46.0,42.0,12.0,9274.0
39.0,50.0,11.0,8997.0
31.0,58.0,11.0,8657.0
35.0,54.0,11.0,8575.0
37.0,44.0,19.0,9169.0
44.0,40.0,16.0,9109.0
38.0,44.0,18.0,8939.0
31.0,49.0,20.0,9227.0
45.0,43.0,12.0,9414.0
34.0,55.0,11.0,8733.0
43.0,38.0,19.0,9680.0
33.0,48.0,19.0,8800.0
45.0,38.0,17.0,9693.0
39.0,46.0,15.0,9261.0
38.0,47.0,15.0,9597.0
40.0,42.0,18.0,9038.0
45.0,42.0,13.0,9161.0
40.0,43.0,17.0,9085.0
40.0,39.0,21.0,9514.0
38.0,50.0,12.0,8653.0
38.0,45.0,17.0,9211.0
41.0,45.0,14.0,8730.0
39.0,25.0,36.0,9856.0
34.0,48.0,18.0,8736.0
39.0,45.0,16.0,9594.0
37.0,44.0,19.0,8733.0
40.0,49.0,11.0,9085.0
40.0,44.0,16.0,8885.0
43.0,44.0,13.0,8848.0
45.0,34.0,21.0,9328.0
24.0,54.0,22.0,8377.0
39.0,41.0,20.0,9003.0
38.0,52.0,10.0,9022.0
46.0,36.0,18.0,9073.0
36.0,35.0,29.0,9265.0
40.0,46.0,14.0,8851.0
36.0,49.0,15.0,8981.0
36.0,38.0,26.0,8940.0
38.0,51.0,11.0,8872.0
36.0,45.0,19.0,9413.0
42.0,48.0,10.0,8557.0
44.0,35.0,21.0,9823.0
30.0,47.0,23.0,8902.0
36.0,39.0,25.0,9360.0
37.0,47.0,16.0,8706.0
36.0,46.0,18.0,9240.0
44.0,42.0,14.0,9385.0
42.0,45.0,13.0,9249.0
36.0,39.0,25.0,8775.0
42.0,41.0,17.0,8962.0
33.0,52.0,15.0,9135.0
30.0,41.0,29.0,9546.0
40.0,45.0,15.0,9266.0
37.0,39.0,24.0,9417.0
37.0,38.0,25.0,9495.0
33.0,52.0,15.0,8738.0
36.0,46.0,18.0,9485.0
35.0,48.0,17.0,8671.0
44.0,36.0,20.0,9785.0
42.0,48.0,10.0,8663.0
37.0,48.0,15.0,8926.0
34.0,41.0,25.0,9120.0
44.0,45.0,11.0,9465.0
34.0,38.0,28.0,9165.0
32.0,50.0,18.0,8979.0
34.0,41.0,25.0,8754.0
41.0,42.0,17.0,9253.0
34.0,48.0,18.0,8822.0
35.0,58.0,7.0,8102.0
33.0,49.0,18.0,8816.0
35.0,45.0,20.0,9585.0
39.0,48.0,13.0,9276.0
40.0,36.0,24.0,9512.0
46.0,42.0,12.0,9606.0
32.0,49.0,19.0,8569.0
39.0,41.0,20.0,9470.0
38.0,44.0,18.0,9752.0
37.0,46.0,17.0,9293.0
37.0,43.0,20.0,9097.0
38.0,52.0,10.0,8953.0
39.0,46.0,15.0,8911.0
35.0,43.0,22.0,9139.0
44.0,44.0,12.0,8992.0
40.0,41.0,19.0,9529.0
49.0,33.0,18.0,9852.0
41.0,42.0,17.0,9122.0
36.0,44.0,20.0,9237.0
43.0,50.0,7.0,9534.0
35.0,47.0,18.0,9248.0
40.0,42.0,18.0,9024.0
40.0,48.0,12.0,8972.0
35.0,47.0,18.0,8755.0
48.0,34.0,18.0,9591.0
